court_id,site_id,osm_ref,sport,role,parent_id,lat,lon,length_m,width_m,angle_deg,n_in_feature,n_children,n_overlay,subdivided,guessed,oversized,derived,ring
oh_4013392_-8289608:fd08d56,oh_4013392_-8289608,way/120228170,tennis,court,,40.1339348,-82.896421,23.4,10.9,85.4,1,0,0,False,False,False,,"[[-82.8963651, 40.1338267], [-82.8963487, 40.1340371], [-82.8964769, 40.134043], [-82.8964933, 40.1338326]]"
oh_4013392_-8289608:f12648f,oh_4013392_-8289608,way/1125073571,tennis,court,,40.133927,-82.8962479,23.4,10.9,85.4,1,0,0,False,False,False,,"[[-82.896192, 40.1338188], [-82.8961756, 40.1340292], [-82.8963038, 40.1340351], [-82.8963202, 40.1338247]]"
oh_4013392_-8289608:f26634f,oh_4013392_-8289608,way/1125073572,tennis,court,,40.1339211,-82.8960778,23.4,10.9,85.3,1,0,0,False,False,False,,"[[-82.8960219, 40.1338129], [-82.8960055, 40.1340233], [-82.8961337, 40.1340292], [-82.8961501, 40.1338188]]"
oh_4013392_-8289608:f3be035,oh_4013392_-8289608,way/1125073573,tennis,court,,40.1339118,-82.8959066,23.4,10.9,85.3,1,0,0,False,False,False,,"[[-82.8958507, 40.1338036], [-82.8958343, 40.134014], [-82.8959625, 40.1340199], [-82.8959789, 40.1338095]]"
oh_4013392_-8289608:fa33d08,oh_4013392_-8289608,way/1125073574,tennis,court,,40.1339033,-82.8957365,23.4,10.9,85.3,1,0,0,False,False,False,,"[[-82.8956806, 40.1337952], [-82.8956642, 40.1340056], [-82.8957924, 40.1340115], [-82.8958088, 40.1338011]]"
oh_4013420_-8426145:f31c1ac,oh_4013420_-8426145,way/1257002243,tennis,court,,40.1342046,-84.2611881,23.7,11.0,88.7,1,0,0,False,False,False,,"[[-84.2611217, 40.1340985], [-84.2611256, 40.134312], [-84.2612545, 40.1343106], [-84.2612506, 40.1340971]]"
oh_4013420_-8426145:fc223ab,oh_4013420_-8426145,way/1257002244,tennis,court,,40.1342027,-84.26136,23.7,11.0,88.7,1,0,0,False,False,False,,"[[-84.2612936, 40.1340966], [-84.2612975, 40.1343102], [-84.2614264, 40.1343088], [-84.2614225, 40.1340952]]"
oh_4013420_-8426145:f5be648,oh_4013420_-8426145,way/1257002245,tennis,court,,40.1342009,-84.2615319,23.7,11.0,88.7,1,0,0,False,False,False,,"[[-84.2614655, 40.1340948], [-84.2614694, 40.1343084], [-84.2615983, 40.134307], [-84.2615944, 40.1340934]]"
oh_4013420_-8426145:f0dd2b4,oh_4013420_-8426145,way/1257002246,tennis,court,,40.1341991,-84.2617038,23.7,11.0,88.7,1,0,0,False,False,False,,"[[-84.2616374, 40.134093], [-84.2616413, 40.1343066], [-84.2617702, 40.1343052], [-84.2617663, 40.1340916]]"
oh_4013420_-8426145:fcc15d1,oh_4013420_-8426145,way/133191701,tennis,court,,40.1342018,-84.2614459,36.5,18.3,88.7,3,0,0,True,False,False,,"[[-84.2613357, 40.1340386], [-84.2613416, 40.1343672], [-84.2615562, 40.134365], [-84.2615503, 40.1340364]]"
oh_4013493_-8314235:fc362e6,oh_4013493_-8314235,way/1435169147,tennis,court,,40.1348744,-83.1425969,23.9,10.8,106.2,1,0,0,False,False,False,,"[[-83.1424943, 40.1347864], [-83.1425789, 40.1349916], [-83.1426994, 40.1349623], [-83.1426148, 40.1347571]]"
oh_4013493_-8314235:f8d91ce,oh_4013493_-8314235,way/1435169148,tennis,court,,40.1349096,-83.1424336,23.9,10.8,106.2,1,0,0,False,False,False,,"[[-83.142331, 40.1348216], [-83.1424156, 40.1350269], [-83.1425361, 40.1349976], [-83.1424515, 40.1347923]]"
oh_4013493_-8314235:f9450b5,oh_4013493_-8314235,way/1435169149,tennis,court,,40.1349878,-83.142107,23.9,10.8,106.2,1,0,0,False,False,False,,"[[-83.1420044, 40.1348999], [-83.1420889, 40.1351051], [-83.1422095, 40.1350758], [-83.142125, 40.1348706]]"
oh_4013493_-8314235:fff21dd,oh_4013493_-8314235,way/1435169150,tennis,court,,40.1349526,-83.1422702,23.9,10.8,106.2,1,0,0,False,False,False,,"[[-83.1421677, 40.1348646], [-83.1422522, 40.1350698], [-83.1423728, 40.1350405], [-83.1422883, 40.1348353]]"
oh_4013529_-8374599:f260548,oh_4013529_-8374599,way/1458853603,tennis,court,,40.1352919,-83.7460788,23.8,11.2,84.9,1,0,0,False,False,False,,"[[-83.7460211, 40.1351818], [-83.7460051, 40.1353962], [-83.7461364, 40.135402], [-83.7461524, 40.1351876]]"
oh_4013529_-8374599:fd47068,oh_4013529_-8374599,way/1458853604,tennis,court,,40.1352847,-83.7459043,23.8,11.2,84.9,1,0,0,False,False,False,,"[[-83.7458467, 40.1351746], [-83.7458307, 40.1353889], [-83.745962, 40.1353947], [-83.745978, 40.1351804]]"
oh_4013726_-8297014:fdb35b1,oh_4013726_-8297014,way/561682696,tennis,court,,40.1372624,-82.9701407,19.6,11.4,120.1,1,0,0,False,False,False,,"[[-82.9700238, 40.1372136], [-82.9701437, 40.1373645], [-82.9702577, 40.1373111], [-82.9701378, 40.1371602]]"
oh_4013865_-8312542:fec3d24,oh_4013865_-8312542,way/246571933,tennis,court,,40.1386456,-83.1254168,30.5,15.5,172.7,1,0,0,False,False,False,,"[[-83.1252293, 40.1387005], [-83.1255853, 40.1387291], [-83.1256042, 40.1385906], [-83.1252482, 40.138562]]"
